2017, Jeep , Compass Latitude , 17991, 15267,  4 Cyl 2.4 L,  Black ,  4WD,  Description: Used 2017 Jeep Compass Latitude with 4WD Alloy Wheels Cruise Control Fog Lights Heated Seats Keyless Entry Leather Seats Navigation System Power Sun/Moonroof Rear-View Camera Remote Start 
2017, Chevrolet , Trax LT 1LT, 16995, 17106,  4 Cyl 1.4 L,  Black ,  FWD,  Description: Used 2017 Chevrolet Trax LT with FWD Air Conditioning Cruise Control Intermittent Wipers Keyless Entry Navigation System Power Seat (Driver) Power Steering Rear Window Defroster Remote Start Split/Folding Seats 
2018, Hyundai , Santa Fe Sport , 16799, 33583,  4 Cyl 2.4 L,  White ,  AWD,  Description: Used 2018 Hyundai Santa Fe Sport with AWD Air Conditioning CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Split/Folding Seats Third Row Seating 
2017, Hyundai , Santa Fe Sport , 19488, 15021,  4 Cyl 2.4 L,  White ,  AWD,  Description: Used 2017 Hyundai Santa Fe Sport with AWD Air Conditioning Aux Audio Adapter Cloth Seats Cruise Control Intermittent Wipers Keyless Entry Power Steering Rear-View Camera Split/Folding Seats Trip Computer 
2017, Nissan , Rogue SV , 17998, 23570,  4 Cyl 2.5 L,  White ,  AWD,  Description: Used 2017 Nissan Rogue SV with AWD Air Conditioning AM/FM CD (Single Disc) Cruise Control Keyless Entry MP3 Power Windows Rear-View Camera Satellite Radio Split/Folding Seats 
2017, Volkswagen , Tiguan Wolfsburg Edition , 19285, 22967,  4 Cyl 2.0 L,  White ,  AWD,  Description: Used 2017 Volkswagen Tiguan Wolfsburg Edition with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio 
2017, GMC , Terrain SLE SLE-1, 16248, 30445,  4 Cyl 2.4 L,  White ,  FWD,  Description: Used 2017 GMC Terrain SLE with FWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Keyless Entry MP3 Navigation System Power Steering Satellite Radio Split/Folding Seats 
2017, Ford , Escape SE , 18595, 20807,  4 Cyl 1.5 L,  Blue ,  4WD,  Description: Used 2017 Ford Escape SE with 4WD 4-Wheel Disc Brakes Air Conditioning Alloy Wheels AM/FM Cloth Seats Cruise Control Fog Lights Keyless Entry Power Steering Split/Folding Seats 
2017, Jeep , Patriot Latitude , 14495, 19576,  4 Cyl 2.4 L,  Blue ,  4WD,  Description: Used 2017 Jeep Patriot Latitude with 4WD 4-Wheel Disc Brakes Air Conditioning Alloy Wheels Cloth Seats Cruise Control Fog Lights Heated Seats Power Seat (Driver) Power Steering Split/Folding Seats 
2017, Kia , Sportage LX , 14342, 32072,  4 Cyl 2.4 L,  Silver ,  AWD,  Description: Used 2017 Kia Sportage LX with AWD Air Conditioning Alloy Wheels AM/FM Aux Audio Adapter Fog Lights Keyless Entry Power Steering Power Windows Rear-View Camera Trip Computer 
2018, Volkswagen , Tiguan S , 19872, 10588,  4 Cyl 2.0 L,  White ,  AWD,  Description: Used 2018 Volkswagen Tiguan S with AWD Air Conditioning Alloy Wheels AM/FM Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Rear-View Camera 
2017, Ford , Escape SE , 15780, 46106,  4 Cyl 2.0 L,  Black ,  4WD,  Description: Used 2017 Ford Escape SE with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry Navigation System Rear-View Camera Split/Folding Seats 
2017, Mitsubishi , Outlander Sport ES , 13991, 26069,  4 Cyl 2.0 L,  White ,  AWD,  Description: Used 2017 Mitsubishi Outlander Sport ES with AWD Air Conditioning Alloy Wheels Aux Audio Adapter Cloth Seats Cruise Control Intermittent Wipers Keyless Entry Power Steering Split/Folding Seats Trip Computer 
2017, Ford , Escape Titanium , 17888, 48996,  4 Cyl 1.5 L,  Red ,  4WD,  Description: Used 2017 Ford Escape Titanium with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry MP3 Rear-View Camera Split/Folding Seats 
2017, GMC , Terrain SLE SLE-1, 18910, 23960,  4 Cyl 2.4 L,  Silver ,  AWD,  Description: Used 2017 GMC Terrain SLE with AWD Air Conditioning Aux Audio Adapter Cruise Control Intermittent Wipers Power Locks Power Seat (Driver) Power Steering Rear Window Defroster Split/Folding Seats Trip Computer 
2018, Ford , EcoSport SE , 19995, 1222,  4 Cyl 2.0 L,  White ,  4WD,  Description: Used 2018 Ford EcoSport SE with 4WD Air Conditioning Alloy Wheels Cruise Control Fog Lights Heated Seats Keyless Entry Navigation System Power Sun/Moonroof Rear-View Camera Split/Folding Seats 
2017, Kia , Sorento LX , 18912, 26101,  4 Cyl 2.4 L,  Gray ,  AWD,  Description: Used 2017 Kia Sorento LX with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry MP3 Navigation System Rear-View Camera Satellite Radio 
2017, Volkswagen , Tiguan Wolfsburg Edition , 17590, 30328,  4 Cyl 2.0 L,  White ,  AWD,  Description: Used 2017 Volkswagen Tiguan Wolfsburg Edition with AWD Air Conditioning CD (Single Disc) Cruise Control Heated Seats Keyless Entry Power Steering Power Sun/Moonroof Rear-View Camera Satellite Radio Split/Folding Seats 
2017, Nissan , Rogue SV , 18895, 15085,  4 Cyl 2.5 L,  Unspecified ,  AWD,  Description: Used 2017 Nissan Rogue SV with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Heated Seats Keyless Entry Power Steering Satellite Radio Split/Folding Seats 
2017, Toyota , RAV4 LE , 19500, 35277,  4 Cyl 2.5 L,  Red ,  AWD,  Description: Used 2017 Toyota RAV4 LE with AWD Air Conditioning Handsfree/Bluetooth Integration Intermittent Wipers Power Locks Power Mirrors Power Steering Rear Window Defroster Rear-View Camera Split/Folding Seats Trip Computer 
