2018, Mitsubishi , Outlander ES ,14531,  4 Cyl 2.4 L,  Black ,  AWD,  Description: Used 2018 Mitsubishi Outlander ES with AWD Air Conditioning Cloth Seats Cruise Control Heated Seats Keyless Entry Leather Seats Navigation System Rear-View Camera Split/Folding Seats Third Row Seating ,1,17185
2017, Ford , Escape Titanium ,34201,  4 Cyl 1.5 L,  Gray ,  4WD,  Description: Used 2017 Ford Escape Titanium with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry Navigation System Rear-View Camera Remote Start ,1,17995
2017, Dodge , Journey SXT ,17815,  6 Cyl 3.6 L,  White ,  AWD,  Description: Used 2017 Dodge Journey SXT with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Fog Lights Keyless Entry MP3 Satellite Radio Third Row Seating ,1,16995
2017, GMC , Terrain SLE SLE-1,19095,  4 Cyl 2.4 L,  Red ,  FWD,  Description: Used 2017 GMC Terrain SLE with FWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Keyless Entry MP3 Navigation System Power Steering Rear-View Camera Satellite Radio ,1,16837
2017, Chevrolet , Trax LT ,43725,  4 Cyl 1.4 L,  Gray ,  AWD,  Description: Used 2017 Chevrolet Trax LT with AWD Air Conditioning AM/FM Aux Audio Adapter Cloth Seats Cruise Control Keyless Entry Power Steering Rear-View Camera Remote Start Split/Folding Seats ,1,15000
2017, Jeep , Renegade Latitude ,21702,  4 Cyl 2.4 L,  Orange ,  4WD,  Description: Used 2017 Jeep Renegade Latitude with 4WD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Fog Lights Heated Seats Keyless Entry Rear-View Camera Satellite Radio Split/Folding Seats ,1,17991
2017, Nissan , Rogue SV ,40359,  4 Cyl 2.5 L,  Silver ,  AWD,  Description: Used 2017 Nissan Rogue SV with AWD Air Conditioning AM/FM Aux Audio Adapter CD (Single Disc) Cruise Control Intermittent Wipers MP3 Power Steering Remote Start Satellite Radio ,1,13490
2017, Kia , Niro LX ,12352,  4 Cyl 1.6 L,  Red ,  FWD,  Description: Used 2017 Kia Niro LX with FWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Rear-View Camera Satellite Radio ,1,17875
2017, Ford , Escape SE ,9912,  4 Cyl 1.5 L,  Gray ,  4WD,  Description: Used 2017 Ford Escape SE with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Keyless Entry MP3 Rear-View Camera Remote Start Split/Folding Seats ,1,18199
2017, Chevrolet , Equinox LT LT1,20781,  4 Cyl 2.4 L,  White ,  FWD,  Description: Used 2017 Chevrolet Equinox LT with FWD Air Conditioning AM/FM Aux Audio Adapter Cruise Control Intermittent Wipers Keyless Entry Power Steering Rear-View Camera Satellite Radio Trip Computer ,1,16490
